method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,false_sensing_feasibility,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,num_subcarriers,subcarrier_spacing_hz,bandwidth_hz,num_symbols,total_power_w,noise_bandwidth_hz,channel_model,water_level_w,sensing_model,min_sensing_surrogate,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
exact_efim,Exact EFIM,ok,optimal,0.008347723000042606,False,,exact_efim,167.55481809737367,2513322.271460605,0.999999997154856,3.3571428490138744,748649.189056363,88871435001.66978,2.3445563007081907e+18,2.3445563007081907e+18,2.3424243977945564e+18,4.2651993458120092e-19,0.09789496923225204,-10.75091175497575,-6.194576044640162,0.022935602680169483,8.383091868545436e-06,64,8989.478033546708,88790624539.2062,88790624286.58409,2.5133222714606047,0.7486491890563629,88871435001.66978,2.3445563007081907e+18,2.3424243977945564e+18,2.3445563007081907e+18,0.0909299091256775,8989.478033546708,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-11.16157810661645,-10.727695741354509,-10.727695741354509,-2.528770733377783,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.5018952719983645,False,,conventional_s2,166.77917144642328,2501687.571696349,0.9999999996170902,3.3571428560488292,745183.5322374981,88790624866.5971,2.342424413096134e+18,2.342424413096134e+18,2.338122749344466e+18,4.26908118959636e-19,0.09793950719190983,-13.031407098636002,-5.426252013038631,0.03401855645912197,1.9468246410200316e-05,64,12769.355953388002,88627568449.13159,88627568415.19522,2.501687571696349,0.7451835322374981,88790624866.5971,2.342424413096134e+18,2.338122749344466e+18,2.342424413096134e+18,0.18364151806215323,12769.355953388002,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.256466466682465,-13.031407098636002,-13.031407098636002,-0.22505937609629,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.47384500200132607,False,,exact_efim,166.75108533939442,2501266.2800909164,0.9999999997947434,3.35714285655641,745058.0410082969,88822371060.12964,2.343261923349781e+18,2.343261923349781e+18,2.342424412923667e+18,4.2675553681615855e-19,0.09792200324341475,-13.030230371475287,-5.4121742772737935,0.03300127332568421,1.9273377996780615e-05,64,5634.37663601742,88790624878.28452,88790624860.05966,2.5012662800909164,0.7450580410082969,88822371060.12964,2.343261923349781e+18,2.342424412923667e+18,2.343261923349781e+18,0.03574122114854303,5634.37663601742,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466468534791,-13.030230371475287,-13.030230371475287,-0.22623610325700483,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49144527099997504,False,,exact_efim,166.75108533939442,2501266.2800909164,0.9999999997947434,3.35714285655641,745058.0410082969,88822371060.12964,2.343261923349781e+18,2.343261923349781e+18,2.342424412923667e+18,4.2675553681615855e-19,0.09792200324341475,-13.030230371475287,-5.4121742772737935,0.03300127332568421,1.9273377996780615e-05,64,5634.37663601742,88790624878.28452,88790624860.05966,2.5012662800909164,0.7450580410082969,88822371060.12964,2.343261923349781e+18,2.342424412923667e+18,2.343261923349781e+18,0.03574122114854303,5634.37663601742,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466468534791,-13.030230371475287,-13.030230371475287,-0.22623610325700483,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,-5.415213961275615,-0.22623610325700483,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49144527099997504,0.0,249.0,-13.030230371475287,-13.256466468534791,,0.0
uniform,Uniform,ok,ok,1.4460998499998823e-05,False,,none,319.2314808664623,4788472.212996935,1.0,3.357142857142857,1426353.425148023,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,4.788472212996934,1.426353425148023,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0001746929992805235,False,,none,319.2362619102971,4788543.9286544565,1.0000000000003109,3.3571428571437454,1426374.7872583969,76410500578.84213,2.0158189250463345e+18,2.0158189250463345e+18,2.0156539902914972e+18,4.960763030722189e-19,0.10557593788770855,-13.351612759575588,-9.804121439240793,0.015790511893069237,2.7204697484803917e-08,64,2500.384816300251,76404248654.58879,76404248654.61255,4.788543928654456,1.426374787258397,76410500578.84213,2.0158189250463345e+18,2.0156539902914972e+18,2.0158189250463345e+18,0.008182022342778476,2500.384816300251,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.538599440256638,-13.351612759575588,-13.351612759575588,0.09514628484329535,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,0.01615661807822186,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007565870000689756,False,,conventional_s2,317.9230651432174,4768845.977148261,0.9999999982128982,3.3571428520368523,1420507.3145025382,88790624855.70187,2.3424244128087025e+18,2.3424244128087025e+18,2.3422595298407045e+18,4.2690811901202057e-19,0.09793950719791875,-10.538672854081927,-6.235927652196729,0.02289738040739239,7.661193192608688e-06,64,2499.9922475688245,88784375053.14186,88784374894.47514,4.768845977148261,1.4205073145025382,88790624855.70187,2.3424244128087025e+18,2.3422595298407045e+18,2.3424244128087025e+18,0.007038987772512487,2499.9922475688245,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-11.004777538782866,-10.531390606100459,-10.531390606100459,-2.7250758686318335,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.00887789699845598,False,,exact_efim,317.9222078973046,4768833.118459568,0.999999998809802,3.3571428537422916,1420503.4835332164,88793399876.85828,2.342497621858795e+18,2.342497621858795e+18,2.342424408728514e+18,4.2689477703994002e-19,0.09793797675574388,-10.538171246299976,-6.235359373397826,0.022776364621682203,7.65431989456655e-06,64,1665.8858967635326,88790624806.71896,88790624701.04054,4.768833118459568,1.4205034835332164,88793399876.85828,2.342497621858795e+18,2.342424408728514e+18,2.342497621858795e+18,0.00312543029276865,1665.8858967635326,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-11.004197138749163,-10.530860334381693,-10.530860334381693,-2.7256061403505996,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4855710830015596,False,,conventional_s2,316.694328923437,4750414.933851555,0.9999999995669412,3.3571428559055465,1415017.2148602807,88790624866.43097,2.3424244130917514e+18,2.3424244130917514e+18,2.3422508006896655e+18,4.269081189604348e-19,0.09793950719200145,-13.023594783445729,-5.414566666380124,0.033618155234734014,1.9186051217230397e-05,64,2565.317574450857,88784044050.62474,88784044012.17603,4.750414933851555,1.4150172148602806,88790624866.43097,2.3424244130917514e+18,2.3422508006896655e+18,2.3424244130917514e+18,0.007411654400268911,2565.317574450857,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.256466464739606,-13.023594783445729,-13.023594783445729,-0.23287169128656338,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4566563549997227,False,,exact_efim,316.6929061202226,4750393.591803338,0.9999999994199057,3.357142855485445,1415010.857831496,88791822541.01074,2.342456009470072e+18,2.342456009470072e+18,2.342424409746728e+18,4.269023605810329e-19,0.09793884665789866,-13.023610023389358,-5.414181917596897,0.03331868507070207,1.917642969685945e-05,64,1094.4411245247693,88790624791.14333,88790624739.63638,4.750393591803339,1.415010857831496,88791822541.01074,2.342456009470072e+18,2.342424409746728e+18,2.342456009470072e+18,0.0013489996489206527,1094.4411245247693,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466463323736,-13.023610023389358,-13.023610023389358,-0.23285645134293453,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.48964236399842775,False,,exact_efim,316.6929061202226,4750393.591803338,0.9999999994199057,3.357142855485445,1415010.857831496,88791822541.01074,2.342456009470072e+18,2.342456009470072e+18,2.342424409746728e+18,4.269023605810329e-19,0.09793884665789866,-13.023610023389358,-5.414181917596897,0.03331868507070207,1.917642969685945e-05,64,1094.4411245247693,88790624791.14333,88790624739.63638,4.750393591803339,1.415010857831496,88791822541.01074,2.342456009470072e+18,2.342424409746728e+18,2.342456009470072e+18,0.0013489996489206527,1094.4411245247693,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466463323736,-13.023610023389358,-13.023610023389358,-0.23285645134293453,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,2,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,-5.4170341032417735,-0.23285645134293453,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.48964236399842775,0.0,249.0,-13.023610023389358,-13.256466463323736,,0.0
uniform,Uniform,ok,ok,1.2451997463358566e-05,False,,none,255.5942428005451,3833913.6420081765,1.0,3.357142857142857,1142016.8295343504,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,3.8339136420081767,1.1420168295343505,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,3,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
