method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,false_sensing_feasibility,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,realization,channel_kind,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4968523030001961,False,,exact_efim,178.98307405244438,2684746.1107866657,0.9999999995359468,3.357142855816991,799711.6077842057,88832294194.81726,2.3435237099176945e+18,2.3435237099176945e+18,2.3424244101424364e+18,4.2670786549674826e-19,0.09791653383404356,-13.030417013407101,-5.380436819238652,0.03359406403176901,1.972583434008894e-05,64,6455.187077126969,88790624795.83948,88790624754.6359,2.6847461107866657,0.7997116077842057,88832294194.81726,2.3435237099176945e+18,2.3424244101424364e+18,2.3435237099176945e+18,0.046907986064144404,6455.187077126969,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466460303537,-13.030417013407101,-13.030417013407101,-0.2260494613251911,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,3,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.502317704998859,False,,exact_efim,178.98307405244438,2684746.1107866657,0.9999999995359468,3.357142855816991,799711.6077842057,88832294194.81726,2.3435237099176945e+18,2.3435237099176945e+18,2.3424244101424364e+18,4.2670786549674826e-19,0.09791653383404356,-13.030417013407101,-5.380436819238652,0.03359406403176901,1.972583434008894e-05,64,6455.187077126969,88790624795.83948,88790624754.6359,2.6847461107866657,0.7997116077842057,88832294194.81726,2.3435237099176945e+18,2.3424244101424364e+18,2.3435237099176945e+18,0.046907986064144404,6455.187077126969,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466460303537,-13.030417013407101,-13.030417013407101,-0.2260494613251911,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,3,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.383495335435876,-0.2260494613251911,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.502317704998859,0.0,249.0,-13.030417013407101,-13.256466460303537,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.44525343499844894,False,,conventional_s2,310.719852110657,4660797.781659855,0.9999999994447802,3.357142855556515,1388322.7441291688,88790624853.87207,2.3424244127604296e+18,2.3424244127604296e+18,2.3392859638008084e+18,4.2690811902081837e-19,0.09793950719892792,-13.020365542518233,-5.384649861133438,0.03614543045024993,1.982451531666614e-05,64,10907.074976331216,88671660618.63106,88671660569.3988,4.660797781659855,1.3883227441291688,88790624853.87207,2.3424244127604296e+18,2.3392859638008084e+18,2.3424244127604296e+18,0.13398293419946966,10907.074976331216,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.256466467054084,-13.020365542518233,-13.020365542518233,-0.23610093221405926,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,4,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.47651651599881006,False,,exact_efim,310.69518009753983,4660427.701463098,0.9999999993451307,3.3571428552718023,1388212.507592495,88809447330.18521,2.3429209767625083e+18,2.3429209767625083e+18,2.342424408823868e+18,4.268176391428355e-19,0.09792912788795854,-13.023553454783642,-5.3941742941676285,0.0343144498875509,1.9457423100514507e-05,64,4338.504989344024,88790624762.80122,88790624704.65497,4.660427701463098,1.3882125075924951,88809447330.18521,2.3429209767625083e+18,2.342424408823868e+18,2.3429209767625083e+18,0.02119439552445131,4338.504989344024,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466459263745,-13.023553454783642,-13.023553454783642,-0.23291301994865066,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,4,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.48994578999918303,False,,exact_efim,310.69518009753983,4660427.701463098,0.9999999993451307,3.3571428552718023,1388212.507592495,88809447330.18521,2.3429209767625083e+18,2.3429209767625083e+18,2.342424408823868e+18,4.268176391428355e-19,0.09792912788795854,-13.023553454783642,-5.3941742941676285,0.0343144498875509,1.9457423100514507e-05,64,4338.504989344024,88790624762.80122,88790624704.65497,4.660427701463098,1.3882125075924951,88809447330.18521,2.3429209767625083e+18,2.342424408823868e+18,2.3429209767625083e+18,0.02119439552445131,4338.504989344024,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466459263745,-13.023553454783642,-13.023553454783642,-0.23291301994865066,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,4,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.39703303653626,-0.23291301994865066,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.48994578999918303,0.0,249.0,-13.023553454783642,-13.256466459263745,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4690393370001402,False,,conventional_s2,452.95526251276135,6794328.93769142,0.9999999996251602,3.3571428560718863,2023842.6629366926,88790624880.57309,2.3424244134648407e+18,2.3424244134648407e+18,2.3424193684343347e+18,4.2690811889243905e-19,0.0979395071842018,-13.023375759417593,-5.413160038552451,0.033381626793410765,1.9188615110024137e-05,64,437.30320644848734,88790433679.76099,88790433646.47879,6.794328937691421,2.023842662936693,88790624880.57309,2.3424244134648407e+18,2.3424193684343347e+18,2.3424244134648407e+18,0.00021537644830645994,437.30320644848734,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.25646648095853,-13.023375759417593,-13.023375759417593,-0.23309071531469883,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,5,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.48560053999972297,False,,exact_efim,452.955219174498,6794328.28761747,0.9999999994284439,3.35714285550984,2023842.4696364715,88790660326.20593,2.3424253485716255e+18,2.3424253485716255e+18,2.3424244125806904e+18,4.2690794846878877e-19,0.09793948763525291,-13.023378500899758,-5.413134405122601,0.03333278880370178,1.9188557501740607e-05,64,188.35909049467318,88790624897.8078,88790624847.05898,6.79432828761747,2.0238424696364716,88790660326.20593,2.3424253485716255e+18,2.3424244125806904e+18,2.3424253485716255e+18,3.9958196986330973e-05,188.35909049467318,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466484525046,-13.023378500899758,-13.023378500899758,-0.233087973832534,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,5,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5053087829983269,False,,exact_efim,452.955219174498,6794328.28761747,0.9999999994284439,3.35714285550984,2023842.4696364715,88790660326.20593,2.3424253485716255e+18,2.3424253485716255e+18,2.3424244125806904e+18,4.2690794846878877e-19,0.09793948763525291,-13.023378500899758,-5.413134405122601,0.03333278880370178,1.9188557501740607e-05,64,188.35909049467318,88790624897.8078,88790624847.05898,6.79432828761747,2.0238424696364716,88790660326.20593,2.3424253485716255e+18,2.3424244125806904e+18,2.3424253485716255e+18,3.9958196986330973e-05,188.35909049467318,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466484525046,-13.023378500899758,-13.023378500899758,-0.233087973832534,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,5,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.415980093331764,-0.233087973832534,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5053087829983269,0.0,249.0,-13.023378500899758,-13.256466484525046,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.48228229499727604,False,,conventional_s2,170.00217196500108,2550032.5794750163,0.9999999995224734,3.3571428557784957,759584.1729182785,88790624858.48167,2.342424412882038e+18,2.342424412882038e+18,2.3397775430796856e+18,4.269081189986552e-19,0.09793950719638564,-13.029561990930008,-5.412422667885118,0.034606002159450686,1.9490600537999667e-05,64,-10016.524394075775,88690294139.94444,88690294097.59247,2.5500325794750163,0.7595841729182785,88790624858.48167,2.342424412882037e+18,2.3397775430796856e+18,2.342424412882038e+18,0.11299702085564892,10016.524394075775,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-13.256466474732292,-13.256466458714616,-13.029561990930008,-13.029561990930008,-0.22690448380228467,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,6,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.5055040460028977,False,,exact_efim,169.98380394302316,2549757.059145347,0.9999999995402402,3.3571428558292578,759502.1030213278,88809624250.54858,2.3429256441762017e+18,2.3429256441762017e+18,2.342424410300292e+18,4.26816788866388e-19,0.0979290303441075,-13.0278692958234,-5.406558741586291,0.033229006584998756,1.9328696734807695e-05,64,-4358.840435004765,88790624801.44185,88790624760.61949,2.5497570591453473,0.7595021030213277,88809624250.54858,2.3429256441762017e+18,2.342424410300292e+18,2.3429256441762017e+18,0.021393503338680273,4358.840435004765,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466459802088,-13.0278692958234,-13.0278692958234,-0.22859717890889186,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,6,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5118304630013881,False,,exact_efim,169.98380394302316,2549757.059145347,0.9999999995402402,3.3571428558292578,759502.1030213278,88809624250.54858,2.3429256441762017e+18,2.3429256441762017e+18,2.342424410300292e+18,4.26816788866388e-19,0.0979290303441075,-13.0278692958234,-5.406558741586291,0.033229006584998756,1.9328696734807695e-05,64,-4358.840435004765,88790624801.44185,88790624760.61949,2.5497570591453473,0.7595021030213277,88809624250.54858,2.3429256441762017e+18,2.342424410300292e+18,2.3429256441762017e+18,0.021393503338680273,4358.840435004765,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,False,True,-13.256466474732292,-13.256466459802088,-13.0278692958234,-13.0278692958234,-0.22859717890889186,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,6,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.409534697614663,-0.22859717890889186,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5118304630013881,0.0,249.0,-13.0278692958234,-13.256466459802088,,0.0
